actor,name,release_name,score
"张国荣,张丰毅,巩俐",霸王别姬,1993-01-01,9.6
"蒂姆·罗宾斯,摩根·弗里曼,鲍勃·冈顿",肖申克的救赎,1994-10-14(美国),9.5
"格利高里·派克,奥黛丽·赫本,埃迪·艾伯特",罗马假日,1953-09-02(美国),9.1
"让·雷诺,加里·奥德曼,娜塔莉·波特曼",这个杀手不太冷,1994-09-14(法国),9.5
"马龙·白兰度,阿尔·帕西诺,詹姆斯·肯恩",教父,1972-03-24(美国),9.3
"莱昂纳多·迪卡普里奥,凯特·温丝莱特,比利·赞恩",泰坦尼克号,1998-04-03,9.5
"周星驰,巩俐,郑佩佩",唐伯虎点秋香,1993-07-01(中国香港),9.2
"柊瑠美,入野自由,夏木真理",千与千寻,2001-07-20(日本),9.3
"费雯·丽,罗伯特·泰勒,露塞尔·沃特森",魂断蓝桥,1940-05-17(美国),9.2
"费雯·丽,克拉克·盖博,奥利维娅·德哈维兰",乱世佳人,1939-12-15(美国),9.1
"伊莱贾·伍德,伊恩·麦克莱恩,丽芙·泰勒",指环王3：王者无敌,2004-03-15,9.2
"丹尼尔·雷德克里夫,鲁伯特·格林特,艾玛·沃特森",哈利·波特与魔法石,2002-01-26,9.1
"约翰尼·德普,凯拉·奈特莉,奥兰多·布鲁姆",加勒比海盗,2003-11-21,8.9
"刘德华,梁朝伟,黄秋生",无间道,2003-09-05,9.1
"金·凯瑞,劳拉·琳妮,诺亚·艾默里奇",楚门的世界,1998-06-01(美国),8.9
"克里斯蒂安·贝尔,希斯·莱杰,艾伦·艾克哈特",蝙蝠侠：黑暗骑士,2008-07-18(美国),9.3
"张国荣,梁朝伟,张学友",射雕英雄传之东成西就,1993-02-05(中国香港),8.9
"葛优,巩俐,牛犇",活着,1994-05-18(法国),9.0
"汤姆·汉克斯,马特·达蒙,汤姆·塞兹摩尔",拯救大兵瑞恩,1998-07-24(美国),8.9
"菲利普·努瓦雷,赛尔乔·卡斯特利托,蒂兹亚娜·罗达托",天堂电影院,1988-11-17(意大利),9.2
"莱昂纳多·迪卡普里奥,渡边谦,约瑟夫·高登-莱维特",盗梦空间,2010-09-01,9.2
"张国荣,梁朝伟,刘嘉玲",东邪西毒,1994-09-17,8.9
"阿尔·帕西诺,罗伯特·德尼罗,黛安·基顿",教父2,1974-12-12(美国),9.0
"伊莱贾·伍德,伊恩·麦克莱恩,丽芙·泰勒",指环王2：双塔奇兵,2003-04-25,9.1
"本·贝尔特,艾丽莎·奈特,杰夫·格尔林",机器人总动员,2008-06-27(美国),9.3
"姜文,姜宏波,陈强",鬼子来了,2000-05-12(法国戛纳),8.9
"苏拉·沙玛,伊尔凡·可汗,塔布",少年派的奇幻漂流,2012-11-22,9.1
